CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Rate_benign_biopsy,Rate_benign_biopsy_warning,Non-op_diag_rate_invasive,Non-op_diag_rate_non-invasive,Rate_non_op_diagnosis,Rate_non_op_diagnosis_warning,Rate_small_invasive,Rate_small_invasive_warning,SDR,SDR_warning
2012-13,R6,East of England,East of England,Region,50<71,A and B,1.59518544030743,,not included,not included,90.350877192982400,,2.10274444404162,,1.47399195128492,
2012-13,R7,London,London,Region,50<71,A and B,1.94119474065638,,not included,not included,95.389048991354400,,2.92473340925561,,1.51363948820537,
2012-13,R8,South East,South East,Region,50<71,A and B,2.12679980433441,,not included,not included,92.028985507246300,,2.70103575150471,,1.53261179701694,
2013-14,R1,North East,North East,Region,50<71,A and B,0.46497210167390,!,not included,not included,95.121951219512200,,2.94482331060136,,1.66608321836720,
2013-14,R10,South West,South West,Region,50<71,A and B,1.83426845058264,,not included,not included,93.032786885245900,,2.80535174794993,,1.54894395849542,
2013-14,R2,North West,North West,Region,50<71,A and B,1.59335343993626,,not included,not included,94.444444444444400,,2.70301029989187,,1.70148288084158,
2013-14,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A and B,0.89708626381513,,not included,not included,96.603773584905600,,4.01894646189177,,1.68770795614257,
2013-14,R4,East Midlands,East Midlands,Region,50<71,A and B,1.12893362811044,!,not included,not included,94.478527607361900,,2.63417846559104,,1.37837649676502,
2013-14,R5,West Midlands,West Midlands,Region,50<71,A and B,1.97170030155416,,not included,not included,91.726618705035900,,3.28616716925693,,1.83904698869872,
2013-14,R6,East of England,East of England,Region,50<71,A and B,0.97656250000000,!,not included,not included,92.924528301886800,,2.23795572916666,,1.47466965905039,
2013-14,R7,London,London,Region,50<71,A and B,2.12121212121212,,not included,not included,96.657381615598800,,2.47474747474747,,1.52594725351542,
2013-14,R8,South East,South East,Region,50<71,A and B,2.10125580935429,,not included,not included,91.084337349397500,,3.38672995154751,,1.71831507001422,
2014-15,R1,North East,North East,Region,50<71,A and B,0.29761904761905,!,not included,not included,97.580645161290300,,3.19940476190476,,1.63370633874428,
2014-15,R10,South West,South West,Region,50<71,A and B,1.96850393700787,,not included,not included,93.506493506493500,,3.68024649092776,,1.80445781507586,
2014-15,R2,North West,North West,Region,50<71,A and B,1.38978339717297,,not included,not included,94.680851063829700,,3.25412697874648,,1.78822934943724,
2014-15,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A and B,0.81223771490456,!,not included,not included,99.014778325123100,,3.60994539957583,,1.60414467333394,
2014-15,R4,East Midlands,East Midlands,Region,50<71,A and B,1.10469495355259,!,not included,not included,91.304347826086900,,3.71579211649510,,1.73531797917421,
2014-15,R5,West Midlands,West Midlands,Region,50<71,A and B,1.52335815842924,,not included,not included,94.954128440366900,,3.13134732566012,,1.54910362952942,
2014-15,R6,East of England,East of England,Region,50<71,A and B,1.35605478461329,,not included,not included,93.827160493827100,,2.03408217691994,,1.31157605699480,
2014-15,R7,London,London,Region,50<71,A and B,1.49612479152359,,not included,not included,96.275071633237800,,2.40361032080839,,1.39412580924559,
2014-15,R8,South East,South East,Region,50<71,A and B,2.32418998527245,,not included,not included,91.606714628297300,,3.31369661266568,,1.71969616120686,
2015-16,R1,North East,North East,Region,50<71,A and B,0.10236462278637,!,not included,not included,98.850574712643600,,3.48039717473641,,1.66904545383014,
2015-16,R10,South West,South West,Region,50<71,A and B,1.41364164184379,,not included,not included,94.535519125683000,,3.68556570909274,,1.60032834972257,
2015-16,R2,North West,North West,Region,50<71,A and B,0.91005612012741,!,not included,not included,96.666666666666600,,3.37479144547247,,1.59161999553988,
2015-16,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A and B,0.79386080973803,!,not included,not included,96.446700507614200,,3.04313310399576,,1.51205467082146,
2015-16,R4,East Midlands,East Midlands,Region,50<71,A and B,1.27492477943801,,not included,not included,95.833333333333300,,3.21281044418379,,1.49456452399577,
2015-16,R5,West Midlands,West Midlands,Region,50<71,A and B,1.01899404907475,,not included,not included,97.787610619469000,,3.05698214722426,,1.63683125151921,
2015-16,R6,East of England,East of England,Region,50<71,A and B,1.48730479124614,,not included,not included,95.833333333333300,,3.24019972378625,,1.56756281456883,
2015-16,R7,London,London,Region,50<71,A and B,1.21787845573011,,not included,not included,97.979797979797900,,2.16782365119961,,1.17627088245028,
2015-16,R8,South East,South East,Region,50<71,A and B,1.98569343764204,,not included,not included,90.721649484536000,,3.34936242493839,,1.65071692167501,
2016-17,R1,North East,North East,Region,50<71,A and B,0.83978725389568,!,not included,not included,100.000000000000000,,4.19893626947839,,1.81455036090110,
2016-17,R10,South West,South West,Region,50<71,A and B,1.57137064071370,,not included,not included,92.452830188679200,,4.10583941605839,,1.85236575066597,
2016-17,R2,North West,North West,Region,50<71,A and B,0.45601234741125,!,not included,not included,97.833935018050500,,3.71825452504560,,1.79512366784842,
2016-17,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A and B,0.46320123520329,!,not included,not included,97.241379310344800,,2.88214101904271,,1.28044129511730,
2016-17,R4,East Midlands,East Midlands,Region,50<71,A and B,0.66958850742635,!,not included,not included,95.862068965517200,,3.22619917214511,,1.68518012270991,
2016-17,R5,West Midlands,West Midlands,Region,50<71,A and B,0.93848647726303,!,not included,not included,95.238095238095200,,3.28470267042061,,1.68234695101978,
2016-17,R6,East of England,East of England,Region,50<71,A and B,0.74716078900179,!,not included,not included,95.857988165680400,,2.44072524407252,,1.45824381974452,
2016-17,R7,London,London,Region,50<71,A and B,1.42199513147429,,not included,not included,96.747967479674800,,2.24144995300185,,1.36210803471740,
2016-17,R8,South East,South East,Region,50<71,A and B,1.73320407743603,,not included,not included,94.134897360703800,,3.34890279368996,,1.65976401447808,
2017-18,R1,North East,North East,Region,50<71,A and B,0.19531250000000,!,not included,not included,95.876288659793800,,3.61328125000000,,1.51159115581756,
2017-18,R10,South West,South West,Region,50<71,A and B,1.27597520962449,,not included,not included,94.560669456066900,,3.78235508567262,,1.89588845700029,
2017-18,R2,North West,North West,Region,50<71,A and B,0.82115999654248,!,not included,not included,96.330275229357800,,2.85245051430547,,1.60927507652888,
