CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Initial_referred,Percent_assessment,Referral_cyt_bio,Open_biop_total,Final_STR,Percent_STR
2013-14,E92000001,England,England,National,Over 70,E,126.0,7.563025210084033,66.0,1.0,2.0,0.12004801920768307
2013-14,E92000001,England,England,National,Over 70,F1,1994.0,3.666384731364689,1094.0,27.0,27.0,0.04964512926120693
2013-14,E92000001,England,England,National,Over 70,F2,1039.0,6.420714373995798,608.0,15.0,13.0,0.0803361759980225
2014-15,E92000001,England,England,National,45 and over,A,26401.0,7.752573081384252,11970.0,670.0,263.0,0.07722914739608568
2014-15,E92000001,England,England,National,45 and over,A to F2,87737.0,4.167129749688191,40509.0,1770.0,931.0,0.044218491593737023
2014-15,E92000001,England,England,National,45 and over,B,4688.0,7.919855388306049,2291.0,115.0,68.0,0.11487844846519014
2014-15,E92000001,England,England,National,45 and over,C1,44144.0,3.007938903625894,20272.0,770.0,409.0,0.027868951875294277
2014-15,E92000001,England,England,National,45 and over,C2,5560.0,4.783289457836508,2790.0,91.0,61.0,0.052478535418709886
2014-15,E92000001,England,England,National,45 and over,D,959.0,97.75739041794088,149.0,18.0,66.0,6.727828746177369
2014-15,E92000001,England,England,National,45 and over,E,1710.0,8.413698090926983,751.0,26.0,17.0,0.08364495178114545
2014-15,E92000001,England,England,National,45 and over,F1,3005.0,3.765900119055079,1561.0,58.0,30.0,0.037596340622846044
2014-15,E92000001,England,England,National,45 and over,F2,1270.0,6.107237316662659,725.0,22.0,17.0,0.08175042077422458
2014-15,E92000001,England,England,National,45-49,A,12212.0,7.679054266490599,5191.0,302.0,122.0,0.07671508520404956
2014-15,E92000001,England,England,National,45-49,A to F2,13339.0,7.545195375251714,5595.0,321.0,143.0,0.08088784306627146
2014-15,E92000001,England,England,National,45-49,B,167.0,8.472856418061896,80.0,2.0,3.0,0.15220700152207
2014-15,E92000001,England,England,National,45-49,C1,520.0,4.508800832394,179.0,13.0,5.0,0.04335385415763461
2014-15,E92000001,England,England,National,45-49,C2,20.0,5.05050505050505,8.0,1.0,0.0,0.0
2014-15,E92000001,England,England,National,45-49,D,100.0,98.0392156862745,19.0,0.0,4.0,3.9215686274509802
2014-15,E92000001,England,England,National,45-49,E,306.0,8.64406779661017,113.0,3.0,8.0,0.22598870056497175
2014-15,E92000001,England,England,National,45-49,F1,14.0,6.511627906976744,5.0,0.0,1.0,0.46511627906976744
2014-15,E92000001,England,England,National,45-49,F2,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,E92000001,England,England,National,45-74,A,26401.0,7.752573081384252,11970.0,670.0,263.0,0.07722914739608568
2014-15,E92000001,England,England,National,45-74,A to F2,85664.0,4.154693260117923,39329.0,1728.0,898.0,0.04355288741578603
2014-15,E92000001,England,England,National,45-74,B,4688.0,7.919855388306049,2291.0,115.0,68.0,0.11487844846519014
2014-15,E92000001,England,England,National,45-74,C1,44144.0,3.0079430028052965,20272.0,770.0,409.0,0.027868989854733742
2014-15,E92000001,England,England,National,45-74,C2,5560.0,4.783371760900238,2790.0,91.0,61.0,0.05247943838397743
2014-15,E92000001,England,England,National,45-74,D,925.0,97.98728813559322,140.0,17.0,64.0,6.779661016949152
2014-15,E92000001,England,England,National,45-74,E,1609.0,8.422760822907396,700.0,24.0,14.0,0.07328691828508611
2014-15,E92000001,England,England,National,45-74,F1,1880.0,3.7713139418254764,929.0,32.0,13.0,0.026078234704112337
2014-15,E92000001,England,England,National,45-74,F2,457.0,5.434653347603758,237.0,9.0,6.0,0.07135212272565108
2014-15,E92000001,England,England,National,50-52,A,13275.0,7.807032504307836,6329.0,357.0,120.0,0.070572045236681
2014-15,E92000001,England,England,National,50-52,A to F2,19378.0,6.320245790960268,8611.0,487.0,187.0,0.06099112204095211
2014-15,E92000001,England,England,National,50-52,B,1227.0,7.9074563382097045,540.0,32.0,11.0,0.0708899916220919
2014-15,E92000001,England,England,National,50-52,C1,3687.0,3.400915027856695,1332.0,78.0,27.0,0.024904992067298827
2014-15,E92000001,England,England,National,50-52,C2,152.0,5.142083897158322,47.0,2.0,1.0,0.03382949932341001
2014-15,E92000001,England,England,National,50-52,D,231.0,98.71794871794873,30.0,4.0,22.0,9.401709401709402
2014-15,E92000001,England,England,National,50-52,E,739.0,8.85241974125539,311.0,13.0,4.0,0.04791566842357451
2014-15,E92000001,England,England,National,50-52,F1,67.0,6.1865189289012,22.0,1.0,2.0,0.18467220683287164
