CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Screened,Invited,Uptake
2014-15,E92000001,England,England,National,60-64,A,2115.0,8452.0,25.02366303833412
2014-15,E92000001,England,England,National,60-64,A and C1,355443.0,412692.0,86.12791137216132
2014-15,E92000001,England,England,National,60-64,A to C2,394558.0,543037.0,72.65766421072597
2014-15,E92000001,England,England,National,60-64,A to D,394697.0,543179.0,72.66425984804272
2014-15,E92000001,England,England,National,60-64,B,5293.0,53406.0,9.91087143766618
2014-15,E92000001,England,England,National,60-64,C1,353328.0,404240.0,87.405501682169
2014-15,E92000001,England,England,National,60-64,C2,33822.0,76939.0,43.95950038342063
2014-15,E92000001,England,England,National,60-64,D,139.0,142.0,97.88732394366197
2014-15,E92000001,England,England,National,65-70,A,1498.0,6266.0,23.906798595595276
2014-15,E92000001,England,England,National,65-70,A and C1,410594.0,472081.0,86.97532838644216
2014-15,E92000001,England,England,National,65-70,A to C2,450421.0,618212.0,72.85866337114129
2014-15,E92000001,England,England,National,65-70,A to D,450573.0,618364.0,72.86533498069099
2014-15,E92000001,England,England,National,65-70,B,3181.0,47807.0,6.653837304160478
2014-15,E92000001,England,England,National,65-70,C1,409096.0,465815.0,87.82370683640501
2014-15,E92000001,England,England,National,65-70,C2,36646.0,98324.0,37.270656197876406
2014-15,E92000001,England,England,National,65-70,D,152.0,152.0,100.0
2014-15,E92000001,England,England,National,Over 70,A,96.0,391.0,24.55242966751918
2014-15,E92000001,England,England,National,Over 70,A and C1,52226.0,62485.0,83.58165959830359
2014-15,E92000001,England,England,National,Over 70,A to C2,58651.0,85756.0,68.39288213069639
2014-15,E92000001,England,England,National,Over 70,A to D,58751.0,85856.0,68.42969623555722
2014-15,E92000001,England,England,National,Over 70,B,273.0,5864.0,4.655525238744884
2014-15,E92000001,England,England,National,Over 70,C1,52130.0,62094.0,83.95336103327213
2014-15,E92000001,England,England,National,Over 70,C2,6152.0,17407.0,35.3421037513644
